#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	1	0	0	0	0	0	0	0	0.074375	0	0.0120668
2	1	0	0.000718391	0.467593	0.00115741	0.0229669	0	0	0.0452586	0	0.0128676
3	1	0	0.000334225	0.698458	0.000405844	0.0169057	0	0	0.0303218	0	0.0130551
4	1	0	0.000215517	0.744444	0.000347222	0.0130026	0	0	0.0226293	0	0.0130528
5	1	0	0.000159033	0.838816	0	0.0150225	0	0	0.0180501	0	0.0131127
6	1	0	0.000126775	0.954307	0.000262605	0.0133563	0	0	0.0150862	0	0.013166
7	1	0	0.000104866	0.934544	0.000422297	0.012141	0	0	0.0129038	0	0.0131925
8	1	0	8.94135e-05	0.926442	0.000288462	0.0114209	0	0	0.011273	0	0.013174
9	1	0	7.82228e-05	0.930588	0.000294118	0.0108491	0	0	0.010041	0	0.0132028
10	1	0	6.92905e-05	0.923118	0.000295928	0.0104051	0	0	0.00902505	0	0.0132176
11	1	0	6.21891e-05	0.919721	0.000247623	0.00999001	0	0	0.00819581	0	0.0132019
12	1	0	5.65611e-05	0.921854	0.000256498	0.00970708	0	0	0.00752457	0	0.0132212
13	1	0	5.16956e-05	0.918301	0.000261976	0.0094139	0	0	0.00693396	0	0.0132212
14	1	0	4.76372e-05	0.916811	0.000266525	0.00917431	0	0	0.00643382	0	0.0132085
15	1	0	4.42635e-05	0.919647	0.000240848	0.0090332	0	0	0.00601276	0	0.0132235
16	1	0	4.12541e-05	0.919451	0.000273883	0.00885175	0	0	0.00563305	0	0.0132123
17	1	0	3.86279e-05	0.918785	0.000251206	0.00865474	0	0	0.00529844	0	0.0132205
18	1	0	3.63795e-05	0.920294	0.000232515	0.0085509	0	0	0.00500954	0	0.0132323
19	1	0	3.43218e-05	0.919748	0.000259157	0.00842735	0	0	0.00474316	0	0.0132224
20	1	0	3.24844e-05	0.919415	0.000241935	0.00833333	0	0	0.00450368	0	0.0132288
21	1	0	3.08794e-05	0.920758	0.000265152	0.00826114	0	0	0.00429322	0	0.0132532
22	1	0	2.93841e-05	0.920386	0.000249572	0.00816945	0	0	0.00409608	0	0.0132437
23	1	0	2.80647e-05	0.921681	0.000236104	0.00811122	0	0	0.00392126	0	0.0132519
24	1	0	2.68125e-05	0.920813	0.000239525	0.00805758	0	0	0.0037546	0	0.0132506
25	1	0	2.56779e-05	0.919524	0.000242718	0.00801183	0	0	0.00360294	0	0.0132424
26	1	0	2.46646e-05	0.920269	0.000245949	0.0079669	0	0	0.00346698	0	0.0132497
27	1	0	2.37012e-05	0.920391	0.000234755	0.00794009	0	0	0.00333727	0	0.0132534
28	1	0	2.28102e-05	0.920211	0.000237743	0.00788103	0	0	0.00321691	0	0.0132569
29	1	0	2.2007e-05	0.92076	0.000240775	0.00785658	0	0	0.00310809	0	0.013263
30	1	0	2.12368e-05	0.920653	0.000243285	0.00779389	0	0	0.00300343	0	0.0132659
31	1	0	2.05187e-05	0.920062	0.000245603	0.00777654	0	0	0.0029056	0	0.0132489
32	1	0	1.98665e-05	0.920522	0.000248016	0.00774785	0	0	0.00281652	0	0.0132643
33	1	0	1.92367e-05	0.920239	0.00023913	0.00770416	0	0	0.00273031	0	0.0132576
34	1	0	1.86456e-05	0.878289	0.000801282	0.00769116	0	0	0.00264922	0	0.0132513
35	1	0	1.81054e-05	0.929574	0.00044964	0.00770374	0	0	0.00257497	0	0.0132565
36	1	0	1.75809e-05	0.927127	0.000387397	0.00766509	0	0	0.00250272	0	0.0132506
37	1	0	1.70812e-05	0.924366	0.000270954	0.00763509	0	0	0.00243377	0	0.0132498
38	1	0	1.66268e-05	0.929424	0.000210202	0.0075982	0	0	0.00237097	0	0.0132546
39	1	0	1.61833e-05	0.926323	0.000284608	0.00758165	0	0	0.00230958	0	0.0132571
40	1	0	1.57629e-05	0.924827	0.000239647	0.00755018	0	0	0.00225129	0	0.0132518
41	1	0	1.53752e-05	0.927721	0.000249335	0.00753355	0	0	0.00219744	0	0.0132487
42	1	0	1.49952e-05	0.926449	0.000219298	0.00748979	0	0	0.00214461	0	0.0132512
43	1	0	1.46439e-05	0.927673	0.000229058	0.00749003	0	0	0.00209569	0	0.0132554
44	1	0	1.42988e-05	0.92597	0.000236295	0.0074708	0	0	0.00204758	0	0.0132576
45	1	0	1.39696e-05	0.925108	0.000215332	0.00744547	0	0	0.00200163	0	0.0132528
46	1	0	1.36642e-05	0.926339	0.000223037	0.00743299	0	0	0.00195896	0	0.0132634
47	1	0	1.33633e-05	0.926036	0.000229106	0.00741627	0	0	0.00191686	0	0.0132522
48	1	0	1.30726e-05	0.925038	0.000234162	0.00741182	0	0	0.00187615	0	0.0132516
49	1	0	1.28048e-05	0.92705	0.000239158	0.00741363	0	0	0.0018386	0	0.0132553
50	1	0	1.25401e-05	0.926778	0.000224417	0.00739834	0	0	0.00180147	0	0.0132572
51	1	0	1.22862e-05	0.926343	0.000229002	0.00738368	0	0	0.00176581	0	0.013253
52	1	0	1.20494e-05	0.926939	0.000216782	0.00739195	0	0	0.00173251	0	0.0132565
53	1	0	1.18147e-05	0.925955	0.000237102	0.0073898	0	0	0.0016995	0	0.0132583
54	1	0	1.15891e-05	0.925415	0.000225361	0.00737034	0	0	0.00166773	0	0.0132543
55	1	0	1.13781e-05	0.926385	0.000229358	0.00734993	0	0	0.00163799	0	0.0132576
56	1	0	1.11687e-05	0.925915	0.00021901	0.00733749	0	0	0.00160846	0	0.0132538
57	1	0	1.09668e-05	0.821023	0.00094697	0.00735843	0	0	0.00157997	0	0.0132501
58	1	0	1.07777e-05	0.920113	0.000469925	0.0073393	0	0	0.00155325	0	0.0132585
59	1	0	1.05896e-05	0.924391	0.000264831	0.0073171	0	0	0.00152667	0	0.0132549
60	1	0	1.04132e-05	0.927734	0.000279018	0.00730452	0	0	0.00150172	0	0.0132579
61	1	0	1.02375e-05	0.9249	0.000213554	0.00729389	0	0	0.00147685	0	0.0132494
62	1	0	1.0066e-05	0.921731	0.000287753	0.00728747	0	0	0.00145257	0	0.013244
63	1	0	9.90648e-06	0.926516	0.000243002	0.00728588	0	0	0.00142996	0	0.013247
64	1	0	9.74735e-06	0.924765	0.00025134	0.00729069	0	0	0.0014074	0	0.013239
65	1	0	9.59325e-06	0.923991	0.000220848	0.00729535	0	0	0.00138554	0	0.013236
66	1	0	9.44822e-06	0.925645	0.000230506	0.00729844	0	0	0.00136495	0	0.013239
67	1	0	9.30336e-06	0.923776	0.000207937	0.00728422	0	0	0.00134438	0	0.0132315
68	1	0	9.16691e-06	0.925429	0.000244141	0.00727363	0	0	0.00132499	0	0.0132345
69	1	0	9.03049e-06	0.925025	0.000224104	0.00726923	0	0	0.0013056	0	0.0132273
70	1	0	8.89806e-06	0.924751	0.000230118	0.00726051	0	0	0.00128676	0	0.0132247
71	1	0	8.77316e-06	0.925369	0.000214335	0.0072507	0	0	0.00126899	0	0.0132233
72	1	0	8.64813e-06	0.925088	0.000220211	0.00724249	0	0	0.00125119	0	0.0132166
73	1	0	8.52544e-06	0.923686	0.000225225	0.00724205	0	0	0.00123372	0	0.0132124
74	1	0	8.41071e-06	0.924451	0.000212465	0.00722869	0	0	0.00121737	0	0.0132113
75	1	0	8.29573e-06	0.923347	0.000234208	0.00722527	0	0	0.00120098	0	0.013205
76	1	0	8.18706e-06	0.924162	0.000222307	0.00721658	0	0	0.00118548	0	0.013208
77	1	0	8.07807e-06	0.92407	0.00022634	0.00720532	0	0	0.00116994	0	0.0132019
78	1	0	7.97194e-06	0.923945	0.000215616	0.00719835	0	0	0.00115479	0	0.0131999
79	1	0	7.87154e-06	0.924871	0.000233619	0.00719427	0	0	0.00114045	0	0.0132028
80	1	0	7.77073e-06	0.857372	0.000801282	0.00719539	0	0	0.00112606	0	0.013197
81	1	0	7.67248e-06	0.899648	0.00022007	0.00719264	0	0	0.00111202	0	0.0131951
82	1	0	7.57943e-06	0.914644	0.000258264	0.00718121	0	0	0.00109872	0	0.013198
83	1	0	7.48593e-06	0.914674	0.000271739	0.00718244	0	0	0.00108535	0	0.0131925
