#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	10.000000	0	0	0	0	0	0	0	0.0835228	0.00139618	0.00113297
2	10.000000	0.00170517	0.0026474	0.0561409	0.00852203	0.0138054	0	0	0.100136	0.00139618	0.00113297
3	10.000000	0.00170517	0.0026474	0.20089	0.00542831	0.0140533	0	0	0.100136	0.00139618	0.00113297
4	10.000000	0.00170517	0.0026474	0.414783	0.00551987	0.0140533	0	0	0.100136	0.00139618	0.00113297
5	10.000000	0.00170517	0.0026474	0.155167	0.00511169	0.0152321	0	0	0.100136	0.00139618	0.00113297
6	10.000000	0.00170517	0.0026474	0.653614	0.00545502	0.0148926	0	0	0.100136	0.00139618	0.00113297
7	10.000000	0.00170517	0.0026474	0.679276	0.00536346	0.0148926	0	0	0.100136	0.00139618	0.00120926
8	10.000000	0.00170517	0.0026474	0.727688	0.00551987	0.0148926	0	0	0.100136	0.00139618	0.00120926
9	10.000000	0.00170517	0.0026474	0.753456	0.00553131	0.0149117	0	0	0.100136	0.00139618	0.00120926
10	10.000000	0.00170517	0.0026474	0.780331	0.00543976	0.0149117	0	0	0.100136	0.00139618	0.00123978
11	10.000000	0.00170517	0.0026474	0.807423	0.00543976	0.0149117	0	0	0.100136	0.00139618	0.00123978
12	10.000000	0.00170517	0.0026474	0.835419	0.00534821	0.0149117	0	0	0.100136	0.00139618	0.00123978
13	10.000000	0.00170517	0.0026474	0.859276	0.00550079	0.0149117	0	0	0.100136	0.00139618	0.00123978
14	10.000000	0.00170517	0.0026474	0.88612	0.00540924	0.0149117	0	0	0.100136	0.00139618	0.00123978
15	10.000000	0.00170517	0.0026474	0.913258	0.00556564	0.0149117	0	0	0.100136	0.00139618	0.00123978
16	10.000000	0.00170517	0.0026474	0.941483	0.00553131	0.0149117	0	0	0.100136	0.00139618	0.00123978
17	10.000000	0.00170517	0.0026474	1.00493	0.00547028	0.0149117	0	0	0.100136	0.00139618	0.00127792
18	10.000000	0.00170517	0.0026474	1.01904	0.00537872	0.0149536	0	0	0.100136	0.00139618	0.00127792
19	10.000000	0.00170517	0.0026474	1.02882	0.00553513	0.0149536	0	0	0.100136	0.00139618	0.00127792
20	10.000000	0.00170517	0.0026474	1.03788	0.00550079	0.0151901	0	0	0.100136	0.00139618	0.00133133
21	10.000000	0.00170517	0.0026474	1.04835	0.00543976	0.0151901	0	0	0.100136	0.00139618	0.00133133
22	10.000000	0.00170517	0.0026474	1.05812	0.00547028	0.0151901	0	0	0.100136	0.00139618	0.00133133
23	10.000000	0.00170517	0.0026474	1.07151	0.00537872	0.0151901	0	0	0.100136	0.00139618	0.00133133
24	10.000000	0.00170517	0.0026474	1.11278	0.00553131	0.0151901	0	0	0.100136	0.00139618	0.00133133
25	10.000000	0.00170517	0.0026474	1.12193	0.00540924	0.0151901	0	0	0.100136	0.00139618	0.00133133
26	10.000000	0.00170517	0.0026474	1.13184	0.00531769	0.0151901	0	0	0.100136	0.00139618	0.00133133
27	10.000000	0.00170517	0.0026474	1.10304	0.00553131	0.0151901	0	0	0.100136	0.00139618	0.00133133
28	10.000000	0.00170517	0.0026474	1.1128	0.00543976	0.0151901	0	0	0.100136	0.00139618	0.00133133
29	10.000000	0.00170517	0.0026474	1.12062	0.00547028	0.0151901	0	0	0.100136	0.00139618	0.00135422
30	10.000000	0.00170517	0.0026474	1.13088	0.00550079	0.0151901	0	0	0.100136	0.00139618	0.00135422
31	10.000000	0.00170517	0.0026474	1.17028	0.00553131	0.0151901	0	0	0.100136	0.00139618	0.00135422
32	10.000000	0.00170517	0.0026474	1.17796	0.00543976	0.0151901	0	0	0.100136	0.00139618	0.00135422
33	10.000000	0.00170517	0.0026474	1.1332	0.00534821	0.0151901	0	0	0.100136	0.00139618	0.00135422
34	10.000000	0.00170517	0.0026474	0.355148	0.00826263	0.015152	0	0	0.100136	0.00139618	0.00135422
35	10.000000	0.00170517	0.0026474	0.659557	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
36	10.000000	0.00170517	0.0026474	0.691959	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
37	10.000000	0.00170517	0.0026474	0.742779	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
38	10.000000	0.00170517	0.0026474	0.776821	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
39	10.000000	0.00170517	0.0026474	0.823193	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
40	10.000000	0.00170517	0.0026474	0.867035	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
41	10.000000	0.00170517	0.0026474	0.915306	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
42	10.000000	0.00170517	0.0026474	0.910172	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
43	10.000000	0.00170517	0.0026474	0.940536	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00135422
44	10.000000	0.00170517	0.0026474	0.973644	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00154114
45	10.000000	0.00170517	0.0026474	0.983704	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00154114
46	10.000000	0.00170517	0.0026474	1.03725	0.00824738	0.015152	0	0	0.100136	0.00139618	0.00154114
