#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	0	0	0	0	0	0	0	0	0.0706823	0	0
2	0	0	0.00752425	0.0704343	0.00227268	2.02677	0	0	0.0775957	0	0
3	0	0	0.00752425	0.00905676	0.0022726	2.82388	0	0	0.0775957	0	0
4	0	0	0.00752425	0.16197	0.0022727	4.39512	0	0	0.0775957	0	0
5	0	0	0.00752425	0.417647	0.0022727	4.39512	0	0	0.0775957	0	0
6	0	0	0.00752425	0.667952	0.0022727	4.39512	0	0	0.0775957	0	0
7	0	0	0.00752425	0.922926	0.0022727	4.39512	0	0	0.0775957	0	0
8	0	0	0.00752425	1.19829	0.0022727	4.39512	0	0	0.0775957	0	0
9	0	0	0.00752425	1.43358	0.0022727	4.39512	0	0	0.0775957	0	0
10	0	0	0.00752425	1.69154	0.0022727	4.39512	0	0	0.0775957	0	0
11	0	0	0.00752425	1.95894	0.0022727	4.39512	0	0	0.0775957	0	0
12	0	0	0.00752425	2.2245	0.0022727	4.39512	0	0	0.0775957	0	0
13	0	0	0.00752425	2.47166	0.0022727	4.39512	0	0	0.0775957	0	0
14	0	0	0.00752425	2.70598	0.0022727	4.39512	0	0	0.0775957	0	0
15	0	0	0.00752425	2.96428	0.0022727	4.39512	0	0	0.0775957	0	0
16	0	0	0.00752425	3.21641	0.0022727	4.39512	0	0	0.0775957	0	0
17	0	0	0.00752425	0.0864051	0.0022727	7.76146	0	0	0.0775957	0	0
18	0	0	0.00752425	0.339274	0.0022727	7.76146	0	0	0.0775957	0	0
19	0	0	0.00752425	0.604471	0.0022727	7.76146	0	0	0.0775957	0	0
20	0	0	0.00752425	0.859507	0.0022727	7.76146	0	0	0.0775957	0	0
21	0	0	0.00752425	1.09617	0.0022727	7.76146	0	0	0.0775957	0	0
22	0	0	0.00752425	1.37193	0.0022727	7.76146	0	0	0.0775957	0	0
23	0	0	0.00752425	1.65101	0.0022727	7.76146	0	0	0.0775957	0	0
24	0	0	0.00752425	1.89121	0.0022727	7.76146	0	0	0.0775957	0	0
25	0	0	0.00752425	2.13786	0.0022727	7.76146	0	0	0.0775957	0	0
26	0	0	0.00752425	2.38957	0.0022727	7.76146	0	0	0.0775957	0	0
27	0	0	0.00752425	2.67018	0.0022727	7.76146	0	0	0.0775957	0	0
28	0	0	0.00752425	2.92451	0.0022727	7.76146	0	0	0.0775957	0	0
29	0	0	0.00752425	3.20072	0.0022727	7.76146	0	0	0.0775957	0	0
30	0	0	0.00752425	3.47639	0.0022727	7.76146	0	0	0.0775957	0	0
31	0	0	0.00752425	0.073973	0.0022727	11.4032	0	0	0.0775957	0	0
32	0	0	0.00752425	0.307005	0.0022727	11.4032	0	0	0.0775957	0	0
33	0	0	0.00752425	0.557036	0.0022727	11.4032	0	0	0.0775957	0	0
34	0	0	0.00752425	0.808562	0.0022727	11.4032	0	0	0.0775957	0	0
35	0	0	0.00752425	1.05218	0.0022727	11.4032	0	0	0.0775957	0	0
36	0	0	0.00752425	1.31528	0.0022727	11.4032	0	0	0.0775957	0	0
37	0	0	0.00752425	1.55646	0.0022727	11.4032	0	0	0.0775957	0	0
38	0	0	0.00752425	1.82834	0.0022727	11.4032	0	0	0.0775957	0	0
39	0	0	0.00752425	2.07028	0.0022727	11.4032	0	0	0.0775957	0	0
40	0	0	0.00752425	2.29696	0.0022727	11.4032	0	0	0.0775957	0	0
41	0	0	0.00752425	2.54715	0.0022727	11.4032	0	0	0.0775957	0	0
42	0	0	0.00752425	2.80868	0.0022727	11.4032	0	0	0.0775957	0	0
43	0	0	0.00752425	3.03558	0.0022727	11.4032	0	0	0.0775957	0	0
44	0	0	0.00752425	3.28604	0.0022727	11.4032	0	0	0.0775957	0	0
45	0	0	0.00752425	3.54394	0.0022727	11.4032	0	0	0.0775957	0	0
46	0	0	0.00752425	0.0729354	0.0022727	15.1059	0	0	0.0775957	0	0
47	0	0	0.00752425	0.340483	0.0022727	15.1059	0	0	0.0775957	0	0
48	0	0	0.00752425	0.600004	0.0022727	15.1059	0	0	0.0775957	0	0
49	0	0	0.00752425	0.835905	0.0022727	15.1059	0	0	0.0775957	0	0
50	0	0	0.00752425	1.09219	0.0022727	15.1059	0	0	0.0775957	0	0
51	0	0	0.00752425	1.34891	0.0022727	15.1059	0	0	0.0775957	0	0
52	0	0	0.00752425	1.60757	0.0022727	15.1059	0	0	0.0775957	0	0
53	0	0	0.00752425	1.86435	0.0022727	15.1059	0	0	0.0775957	0	0
54	0	0	0.00752425	2.13788	0.0022727	15.1059	0	0	0.0775957	0	0
55	0	0	0.00752425	2.36914	0.0022727	15.1059	0	0	0.0775957	0	0
56	0	0	0.00752425	2.63946	0.0022727	15.1059	0	0	0.0775957	0	0
57	0	0	0.00752425	2.9061	0.0022727	15.1059	0	0	0.0775957	0	0
58	0	0	0.00752425	3.15451	0.0022727	15.1059	0	0	0.0775957	0	0
59	0	0	0.00752425	3.41565	0.0022727	15.1059	0	0	0.0775957	0	0
60	0	0	0.00752425	3.7006	0.0022727	15.1059	0	0	0.0775957	0	0
61	0	0	0.00752425	0.248274	0.0022727	18.8088	0	0	0.0775957	0	0
62	0	0	0.00752425	0.504744	0.0022727	18.8088	0	0	0.0775957	0	0
